programme,acronym,project_title,abstract,researcher,host_institution,country,region,project_number,call,instrument,research_domain,panel,call_year,start_date,end_date,amount_granted,cordis_link,snsf_institution
Horizon 2020,DDX TRANSIT,DEAD-box ATPases as master regulators of phase-separated compartments to control cellular RNA flux and the remodeling of RNA-protein complexes,"Life ultimately depends on the tight control of gene expression, which requires an ordered and efficient processing of various RNA molecules. Messenger RNAs (mRNAs) – bound by a constantly changing coat of passenger proteins - transit from transcription in the nucleus to translation and ultimately decay in the cytoplasm. Similarly, ribosomal rRNAs migrate through the nucleolus where they gradually en-counter ribosomal proteins to assemble functional ribosomes. Still, we know very little about the pro-cesses that orchestrate this flux of RNA in a temporal and spatial manner.
Intriguingly, many RNA processing steps occur in membraneless organelles formed by liquid-liquid phase separation, e.g. nuclear speckles or the nucleolus, but the function of condensate formation in RNA processing is not known. I have discovered that the family of DEAD-box ATPases (DDXs) are master regulators of RNA-containing membraneless organelles, from bacteria to man. DDXs use their low-complexity domains and ATPase activity to regulate condensate dynamics and RNA flux through these compartments.
I propose that cells use DDX-controlled condensate ‘stations’ to establish an RNA ‘transit map’ to reg-ulate the cellular flux of mRNA and rRNA molecules and to spatially and temporally control RNA pro-cessing. In three work packages, I will (1) characterize central DDXs that control mRNA flux and use DDX mutants as unique tools to map passenger protein changes along the life of an mRNA; (2) charac-terize how DDXs regulate the formation of the phase-separated nucleolar environment and facilitate the flux of rRNA during ribosome assembly; (3) dissect how DDX condensates function as biomolecular filters to selectively enrich or exclude proteins, and how selectivity contributes to the remodeling of the RNA protein coat and directional RNA flux.
Our research will provide key novel insight into our understanding of RNA processing and uncover novel layers of gene expression regulation.",Maria Hondele,University of Basel,Switzerland,-,950262,ERC-2020-STG,Starting Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2020,44228,46418,1499845,https://cordis.europa.eu/project/id/950262,University of Basel
Horizon 2020,DestCilia,Destination cilium: towards selective probing and perturbation of ciliary signaling,"The primary cilium is a microtubule-based organelle that organizes a variety of cellular signaling pathways. Its importance for human health is illustrated by a large collection of cilium-based diseases, the ciliopathies, caused by mutations that alter cilium formation, structure, and function. Importantly, the mammalian Hedgehog signaling pathway is critically dependent on the primary cilium, dysregulation of which contributes to severe developmental defects and a variety of cancers. The ultimate goal of this work program is to enhance our understanding of the molecular mechanisms of ciliary signaling in health and disease. This is accomplished through the development of advanced technologies that provide a currently unattainable level of spatiotemporal control over ciliary proteins in mammalian cells. Unraveling the mechanisms by which the ciliary compartment orchestrates signal transduction is challenging, because ciliary and cytoplasmic roles of proteins involved in signal transduction are tightly connected, difficult to resolve and, importantly, context-specific. Here, an innovative chemical biology program is presented that provides a powerful toolbox to overcome these challenges, allowing the intraciliary manipulation, and therefore study, of ciliary proteins. Combining chemical probes, synthetic ciliary targeting approaches, and a modular enzymatic tagging strategy, this program provides unprecedented opportunities to probe, visualize, inhibit or degrade proteins at specific times and selectively within the ciliary compartment. Specifically, these tools will be used to decipher the relationships between tubulin acetylation state, intraflagellar transport, and Hedgehog signal transduction in wild-type and ciliopathy-mutant cells. These innovative work packages synergistically provide enhanced fundamental understanding of ciliary signaling, and pave the way for novel therapeutic approaches to combat cilium-based diseases.",Sascha Hoogendoorn,University of Geneva,Switzerland,-,948750,ERC-2020-STG,Starting Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2020,44197,46173,1408776,https://cordis.europa.eu/project/id/948750,University of Geneva
Horizon 2020,BRCA INSIGHTS,Understanding the functions of the BRCA protein complexes in DNA break repair and in replication stress,"BRCA1, BRCA2 and associated factors are frequently mutated in familial and sporadic cancers of the breast and ovary. The BRCA proteins have canonical functions together with the RAD51 recombinase in DNA double-strand break repair by homologous recombination. More recently, it was discovered that the same proteins have separate, recombination-independent roles in the metabolism of challenged replication forks. It is currently debated whether defects in the canonical and/or non-canonical functions of BRCA contribute to tumorigenesis. 

As BRCA1 and BRCA2 function in various processes, interact with numbers of co-factors, and can be extensively post-translationally modified, phenotypes associated with their defects are often very pleiotropic. Here I propose to use a biochemical approach, which will allow us to study the precise functions of these proteins with defined substrates and co-factors in controlled systems. BRCA1 and BRCA2 represent some of the largest factors in human proteome. Using state-of-the-art protein expression strategies, we are now able to produce sufficient quantities of the respective complexes in their native or post-translationally modified states to make biochemistry feasible. 

We aim to define how the BRCA proteins help couple the initial steps in DNA break repair including nucleolytic processing of DNA breaks, RAD51 loading on ssDNA and subsequent invasion of homologous DNA template. We will also determine the precise non-canonical functions of RAD51, RAD52 and BRCA1/2 complexes in fork remodeling, fork protection and fork restart, which prevents pathological degradation of nascent DNA under replication stress. We anticipate that these diverse functions of BRCA proteins are governed by their co-factors, post-translational modifications and specific substrates. A biochemical approach is uniquely suited to understand the mechanisms how BRCA proteins regulate DNA metabolic pathways to promote genome stability and prevent tumorigenesis.
",Petr Cejka,Institute for Research in Biomedicine,Switzerland,-,101018257,ERC-2020-ADG,Advanced Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2020,44652,46477,1868152.5,https://cordis.europa.eu/project/id/101018257,Institute for Research in Biomedicine
Horizon 2020,mARs,"mARs: Mobile DNA driven antibiotic resistance spreading: molecular strategies, control and evolution for broad distribution","Antibiotic resistance (AR) is spreading rapidly, leading to the development of highly virulent pathogens and multidrug-resistant ‘superbugs’, a major health concern of our era. Mobile DNA elements, transposons and integrons, effectively drive the spread of AR genes in microbial interaction hotspots, such as bacterial communities in humans and natural environments. Yet, our knowledge of their mechanisms remains very sparse. It is unclear how DNA movement occurs on the molecular level and how it is controlled in cells and communities; biochemical and structural data are rare and our view on their diversity and evolution is limited. Here I propose an integrated approach combining bioinformatics, genetics, microbiology, biochemistry, and structural biology to elucidate the mechanisms and diversity of mobile DNA driven resistance spreading. I want to (a) investigate the molecular mechanisms and regulation of AR gene movement in vitro, in model bacteria and in gut bacterial communities; (b) dissect the structure of the underlying molecular machineries to reveal how protein-DNA interplay promotes gene transfer; and (c) characterize the diversity, evolution and functional success of distinct molecular pathways. Mechanistic work will focus on selected mobile elements that confer resistance to last resort drugs and promiscuous gene carriers with high prevalence in health care. Bioinformatic quests will draw on recent (meta)genomic data to chart the clinical significance of molecular insights in situ. By bridging disciplines, I want to provide functionally annotated molecular movies of gene movement and explain how specific molecular strategies evolved to enable broad dissemination of resistance determinants. The insights gained in this research will provide in-depth knowledge on major AR transfer pathways and will have key implications for the development of novel intervention strategies and preventive measures aimed at reducing dissemination of drug resistance in bacteria.",Orsolya Barabas,University of Geneva,Switzerland,-,866250,ERC-2019-COG,Consolidator Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2019,44378,46203,1999118,https://cordis.europa.eu/project/id/866250,University of Geneva
Horizon 2020,NucEM,Accessing Nucleosomal DNA,"Transcription factors (TFs) regulate gene expression and govern cell identity. In chromatinised genomes TF binding sites are frequently encapsulated in nucleosomes, which severely restrict access. While specialised pioneer factors have been proposed to bind to these sterically hindered sites, the exact mechanism by which these factors access nucleosomes remains unknown. A number of biochemical models have been put forward that would allow DNA sequence read-out, these include: (i) TFs compatible with the nucleosome architecture, (ii) alternative, partial, DNA motifs that render TFs nucleosome compatible, (iii) exposure of DNA binding sites through histone-nucleosome breathing dynamics, or (iv) remodelling of the histone core by TF binding. Despite being a fundamental question in genome regulation, no structural rationale is currently available for any of these proposed mechanisms. In unpublished work, we developed a novel biochemical assay allowing to simultaneously investigate all DNA registers on a nucleosome for TF access. This tool enabled us to solve the 3.8 Å structure OCT4/SOX2 bound to a nucleosome revealing the unexpected binding modes these TFs employ to engage nucleosomal binding sites (unpublished). Building on this novel biochemical workflow, we propose to solve additional structures of TFs compatible with the nucleosome-architecture and of those TFs suspected to bind to the ends of nucleosomal DNA. By dissecting multiple structures with diverse DNA binding domains in vitro and in cells, we wish to understand general principles of how DNA sequence motifs are being read-out at different sites on a nucleosome.  The key questions we wish to address are: How does the location of a TF motif on a nucleosome impact affinity and/or the binding mechanism? Can TF binding remodel the nucleosome architecture? How do arrays of nucleosomes impact TF accessibility to DNA?  ",Nicolas Thoma,Friedrich Miescher Institute for Biomedical Research,Switzerland,-,884331,ERC-2019-ADG,Advanced Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2019,44256,46081,2100929,https://cordis.europa.eu/project/id/884331,Institute Friedrich Miescher
Horizon 2020,CRISPR2.0,Microbial genome defence pathways: from molecular mechanisms to next-generation molecular tools,"The constant arms race between prokaryotic microbes and their molecular parasites such as viruses, plasmids and transposons has driven the evolution of complex genome defence mechanisms. The CRISPR-Cas defence systems provide adaptive RNA-guided immunity against invasive nucleic acid elements. CRISPR-associated effector nucleases such as Cas9, Cas12a and Cas13 have emerged as powerful tools for precision genome editing, gene expression control and nucleic acid detection. However, these technologies suffer from drawbacks that limit their efficacy and versatility, necessitating the search for additional exploitable molecular activities. Building on our recent structural and biochemical studies, the goal of this project is to investigate the molecular architectures and mechanisms of CRISPR-associated systems and other genome defence mechanisms, aiming not only to shed light on their biological roles but also inform their technological development. Specifically, the proposed studies will examine (i) the molecular basis of cyclic oligoadenylate signalling in type III CRISPR-Cas systems, (ii) the mechanism of transposon-associated type I CRISPR-Cas systems and their putative function in RNA-guided DNA transposition, and (iii) molecular activities associated with recently described non-CRISPR defence systems. Collectively, the proposed studies will advance our understanding of the molecular functions of genome defence mechanisms in shaping the evolution of prokaryotic genomes and make critical contributions to their development as novel genetic engineering tools.",Martin Jinek,University of Zurich,Switzerland,-,820152,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2018,43586,45961,1996525,https://cordis.europa.eu/project/id/820152,University of Zurich
Horizon 2020,INSPIRE,System-wide discovery and analysis of inositol pyrophosphate signaling networks in plants,"Inositol pyrophosphates (PP-InsPs) are soluble signaling molecules known to play diverse roles in fungal and animal cell signaling. The metabolism of PP-InsPs in plants however is poorly understood and many signaling pathways controlled by PP-InsPs remain to be discovered. Funded by an ERC starting grant, we have previously identified protein sensor domains for PP-InsPs, which allow PP-InsPs to act as central regulators of phosphate homeostasis in all eukaryotes. Genetic disruption of PP-InsP synthesis results in dramatic phenotypes in the model plant Arabidopsis, which however cannot be rationalized by defects in phosphate signaling only. Based on these physiological observations, we generated a system-wide Arabidopsis PP-InsP interactome, using an affinity-matrix absorbed non-hydrolyzable PP-InsP analog. Surprisingly, hundreds of novel candidates from different protein families were identified in this screen, now enabling us to study PP-InsP catabolism and a multitude of PP-InsP-mediated signaling processes. Here, I propose to combine quantitative biochemistry and structural biology with cell biology and genome editing to dissect plant PP-InsP signaling networks at the physiological level and in mechanistic detail. Specifically, we will define the roles for PP-InsPs in plant light sensing and signaling, in flowering time regulation and in plant immune responses. Our ultimate goal will be to investigate the cross-talk between different PP-InsP-controlled signaling pathways and to define central signaling hubs. I envision that the work outlined in this proposal will yield a mechanistically validated system’s-level view of PP-InsP signal transduction in plants, which may allow us to better understand how plants develop and interact with their environment, and that may enable us to improve crop performance in the future.",Michael Hothorn,University of Geneva,Switzerland,-,818696,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2018,43617,45808,1781251,https://cordis.europa.eu/project/id/818696,University of Geneva
Horizon 2020,TENDO,Tension of ENDOmembranes maintained by TORC1,"The target of the bacterial macrolide rapamycin, TOR, is a ser/thr protein kinase that assembles into two distinct protein complexes, conserved from yeast to human, we named TORC1 and TORC2. TORC1 is directly bound and inhibited by rapamycin and studies with rapamycin have revealed that TORC1 plays a central role in coupling nutrient cues to biomass synthesis and turnover. The lack of a specific inhibitor for TORC2 has made the study of this complex much more challenging. We overcame this challenge by solving the structure of yeast TORC2 which revealed why it is insensitive to rapamycin and enabled us to create a rapamycin-sensitive TORC2 variant. We also developed two small molecules, one that dissipates plasma membrane (PM) tension and the other that serves as a biosensor of PM tension. With this suite of chemical-biology tools we confirmed that TORC2 functions in a mechanotransduction pathway to maintain tension homeostasis of the PM. Concurrently, solving the structure of TORC1 revealed that its activity is regulated via assembly into a huge, inactive helix which we named a TOROID – TORC1 Organized in an Inactive Domain. In this grant, was ask if these major advances are transferable; i.e. can lessons learned regarding TORC2 be applied to TORC1, and vice versa? Our major aim is to determine if and how TORC1 regulates vacuolar membrane (VM) tension. To this end, we will develop novel chemical probes to monitor VM tension and we will use genetic screens, quantitative phosphoproteomics, in vitro assays, high-throughput compound screens, STORM and FRAP imaging, and state-of-the-art cryo-EM to learn how TORC1 senses and regulates VM tension. Our other aim, prompted by our TOROID discovery, is to solve the TOROID-like structure that TORC2 forms upon glucose depletion. This work will reveal new mechanisms in growth control, and details in TORC1 and TORC2 regulation that may inform future therapeutic interventions for these medically relevant signalling complexes.",Robbie Joseph Loewith,University of Geneva,Switzerland,-,834394,ERC-2018-ADG,Advanced Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2018,43586,45596,2257546,https://cordis.europa.eu/project/id/834394,University of Geneva
Horizon 2020,ORISPECIFICATION,Molecular and structural mechanisms for metazoan replication origin specification,"Cellular life depends on the timely and accurate duplication of chromosomal DNA through semi-conservative replication to sustain genomic integrity and organismal viability. In all domains of life, DNA replication relies on dedicated initiator proteins that recognize and bind specific genomic sites, termed replication origins, to facilitate the loading of ring-shaped replicative helicases onto DNA. While origin recognition by initiators is determined by specific DNA sequences in prokaryotes and in the eukaryote S. cerevisiae, origin specification in higher eukaryotes instead appears to rely on chromatin context and DNA structure. Yet, how initiators help specify replication origins at the molecular level and how their binding sites are established in higher eukaryotes remain foremost and long-standing questions in the field. This research proposal focuses on uncovering the molecular and structural principles for chromosomal binding site selection by the eukaryotic initiator, the origin recognition complex (ORC), in metazoan systems. Employing integrated biochemical, structural, and cell-based approaches, we aim to 1) elucidate how ORC binds DNA and how DNA structural elements contribute to this interaction, 2) determine how nucleosomes are recognized by ORC, and 3) identify auxiliary binding partners of ORC and establish how they contribute to origin specification. The outcomes of our proposed efforts will have far-reaching implications for multiple scientific fields by defining mechanistic links between chromatin architecture and DNA replication initiation, and they will set the foundation to understand at the molecular level how the replication initiation program is altered during cell differentiation and development. Our studies also have significant biomedical relevance, as failure to precisely replicate chromosomal DNA leads to genetic instability, which in turn underpins many human diseases, including cancer and certain developmental disorders.",Franziska Bleichert,Friedrich Miescher Institute for Biomedical Research,Switzerland,-,757909,ERC-2017-STG,Starting Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2017,43282,45107,1500000,https://cordis.europa.eu/project/id/757909,Institute Friedrich Miescher
Horizon 2020,IMMUNO-PEPTALK,Regulation of plant receptor kinase-mediated immunity by endogenous peptides and their receptors,"Plant receptor kinases are major pattern recognition receptors (PRRs) that function as part of dynamic multimeric complexes to perceive pathogen-associated molecular patterns or host-derived damage-associated molecular patterns at the plasma membrane (PM). Our long-term objective is to decipher the molecular basis of plant innate immunity and to understand how plant receptor kinases work. Our recent findings point to an important role of endogenous peptides in the regulation of plant innate immune signaling. The main aim of this proposal is to understand how these endogenous peptides and their corresponding receptors regulate plant innate immune signaling. The central hypotheses of this research are that: (i) a subset of plant endogenous peptides are perceived by receptor kinases to fine-tune dynamically plant innate immune signaling, and thus act as ‘phytocytokines’; (ii) these phytocytokines and their receptors regulate the formation of active immune-signaling nanoclusters at the PM; and (iii) phytocytokine receptors participate in the sensory continuum represented by the plant PM and the cell wall to respond dynamically to environmental challenges. We will pursue the following specific objectives: (1) decipher the regulation, function, and perception of RALF peptides by malectin-like receptor kinases during immunity; (2) elucidate the formation, composition, and function of PM immune receptor nanoclusters; (3) reveal the function of the receptor kinase MIK2 and its ligand(s) in immunity. Through a balanced combination of straight-forward and high risk/high gain biochemical, biophysical, bioimaging, and genetics approaches, this project will provide groundbreaking insights into the molecular mechanisms underlying the establishment and regulation of plant innate immune signaling, but also into the general mechanisms that control plant receptor kinase functions and by which the myriad endogenous peptides encoded by plant genomes control environmental sensing.",Cyril Boris Zipfel,University of Zurich,Switzerland,-,773153,ERC-2017-COG,Consolidator Grants,Life Sciences (LS),"LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions",2017,43252,45260,1999999,https://cordis.europa.eu/project/id/773153,University of Zurich
