instrument,call_year,research_institution,n_granted,amount_granted
SNSF Starting Grants,2022,University of Fribourg,4,7035674
SNSF Starting Grants,2023,University of Lausanne,8,14278486
SNSF Swiss Postdoctoral Fellowships,2024,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Starting Grants,2024,University of Zurich,13,22923962
SNSF Swiss Postdoctoral Fellowships,2022,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of Lausanne,6,1370245
SNSF Starting Grants,2024,University of Geneva,2,3238533
SNSF Swiss Postdoctoral Fellowships,2023,ETH Zurich,9,2303994
SNSF Swiss Postdoctoral Fellowships,2021,Paul Scherrer Institute,4,912640
SNSF Starting Grants,2022,University of Zurich,9,15500766
SNSF Swiss Postdoctoral Fellowships,2024,Graduate Institute of International and Development Studies,0,0
SNSF Starting Grants,2022,University of St.Gallen,1,802406
SNSF Consolidator Grants,2022,University of Zurich,7,11402281
SNSF Swiss Postdoctoral Fellowships,2024,ETH Zurich,16,3963924
SNSF Swiss Postdoctoral Fellowships,2021,ETH Zurich,18,4757701
SNSF Starting Grants,2023,University of Basel,6,10716121
SNSF Starting Grants,2024,University of Basel,6,9424694
SNSF Advanced Grants,2021,University of Geneva,3,6084031
SNSF Swiss Postdoctoral Fellowships,2023,University of Geneva,10,2497999
SNSF Starting Grants,2023,ETH Zurich,12,21326377
SNSF Starting Grants,2024,University of Lucerne,2,3599996
SNSF Swiss Postdoctoral Fellowships,2022,EPF Lausanne,13,3030270
SNSF Advanced Grants,2024,University of Berne,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Berne,5,1255518
SNSF Consolidator Grants,2023,ETH Zurich,5,9133032
SNSF Swiss Postdoctoral Fellowships,2022,University of Zurich,21,5162849
SNSF Advanced Grants,2024,EPF Lausanne,3,5444624
SNSF Swiss Postdoctoral Fellowships,2022,ETH Zurich,14,3514249
SNSF Swiss Postdoctoral Fellowships,2024,University of Geneva,12,2944246
SNSF Swiss Postdoctoral Fellowships,2021,University of Berne,10,2665266
SNSF Swiss Postdoctoral Fellowships,2023,Research Institutes Agroscope,1,261027
SNSF Swiss Postdoctoral Fellowships,2021,University of Lausanne,4,897762
SNSF Starting Grants,2023,University of Zurich,8,13542657
SNSF Swiss Postdoctoral Fellowships,2024,EPF Lausanne,11,2587926
SNSF Starting Grants,2022,University of Basel,7,12548319
SNSF Swiss Postdoctoral Fellowships,2022,University of Basel,10,2527579
SNSF Consolidator Grants,2023,University of Neuchatel,0,0
SNSF Starting Grants,2024,University of Fribourg,1,1696495
SNSF Swiss Postdoctoral Fellowships,2024,Zurich University of Applied Sciences,0,0
SNSF Starting Grants,2022,University of Berne,8,14040819
SNSF Swiss Postdoctoral Fellowships,2023,EPF Lausanne,5,1151023
SNSF Starting Grants,2024,EPF Lausanne,9,15875671
SNSF Advanced Grants,2021,EPF Lausanne,5,10129533
SNSF Swiss Postdoctoral Fellowships,2022,Università della Svizzera italiana,2,431100
SNSF Swiss Postdoctoral Fellowships,2021,University of Basel,7,1741687
SNSF Swiss Postdoctoral Fellowships,2024,University of Berne,3,791958
SNSF Swiss Postdoctoral Fellowships,2024,University of Zurich,9,2311215
SNSF Advanced Grants,2024,University of Zurich,1,1899950
SNSF Starting Grants,2024,ETH Zurich,8,13877644
SNSF Swiss Postdoctoral Fellowships,2023,University of Fribourg,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Consolidator Grants,2022,University of Basel,3,5346824
SNSF Swiss Postdoctoral Fellowships,2021,University of Geneva,4,1036675
SNSF Starting Grants,2023,EPF Lausanne,6,10175155
SNSF Swiss Postdoctoral Fellowships,2021,EPF Lausanne,7,1531010
SNSF Starting Grants,2023,University of Berne,11,18935495
SNSF Advanced Grants,2021,Idiap Research Institute,1,1739107
SNSF Swiss Postdoctoral Fellowships,2021,University of Zurich,10,2147437
SNSF Swiss Postdoctoral Fellowships,2023,Graduate Institute of International and Development Studies,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Basel,5,1251742
SNSF Swiss Postdoctoral Fellowships,2023,University of Neuchatel,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Zurich,4,1019180
SNSF Swiss Postdoctoral Fellowships,2023,University of Lausanne,2,428654
SNSF Swiss Postdoctoral Fellowships,2021,University of Fribourg,3,833896
SNSF Swiss Postdoctoral Fellowships,2021,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Starting Grants,2024,University of Lausanne,6,10418164
SNSF Consolidator Grants,2023,University of Zurich,3,6021951
SNSF Starting Grants,2022,Zurich University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Swiss Federal Laboratories for Materials Science and Technology,1,240456
SNSF Swiss Postdoctoral Fellowships,2023,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Starting Grants,2022,University of Geneva,10,16686729
SNSF Swiss Postdoctoral Fellowships,2023,Ente Ospedaliero Cantonale,0,0
SNSF Starting Grants,2022,EPF Lausanne,6,9729754
SNSF Starting Grants,2023,University of Fribourg,1,1800000
SNSF Advanced Grants,2021,University of Berne,2,4145745
SNSF Swiss Postdoctoral Fellowships,2022,University of St.Gallen,0,0
SNSF Starting Grants,2022,University of Lausanne,1,1752943
SNSF Swiss Postdoctoral Fellowships,2024,University of Fribourg,2,579245
SNSF Swiss Postdoctoral Fellowships,2023,Università della Svizzera italiana,1,231409
SNSF Advanced Grants,2022,Università della Svizzera italiana,1,2361081
SNSF Starting Grants,2022,Paul Scherrer Institute,2,3058596
SNSF Starting Grants,2024,University of Berne,8,14382150
SNSF Swiss Postdoctoral Fellowships,2022,University of Lausanne,6,1317555
SNSF Swiss Postdoctoral Fellowships,2022,University of Lucerne,0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of Applied Sciences and Arts Western Switzerland – HES-SO,1,266425
SNSF Starting Grants,2023,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Advanced Grants,2022,University of Geneva,4,8325648
SNSF Consolidator Grants,2022,University of Berne,3,4999111
SNSF Swiss Postdoctoral Fellowships,2024,Institute Friedrich Miescher,2,363797
SNSF Advanced Grants,2024,University of St.Gallen,0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of Neuchatel,2,526877
SNSF Advanced Grants,2021,University of Fribourg,0,0
SNSF Advanced Grants,2022,ETH Zurich,2,4864890
SNSF Swiss Postdoctoral Fellowships,2024,University of Basel,5,1243396
SNSF Swiss Postdoctoral Fellowships,2022,University of Geneva,8,2081473
SNSF Swiss Postdoctoral Fellowships,2022,University of Fribourg,3,848230
SNSF Advanced Grants,2021,University of Zurich,2,4348006
SNSF Swiss Postdoctoral Fellowships,2021,"Swiss Federal Institute for Forest, Snow and Landscape Research ",2,419291
SNSF Consolidator Grants,2022,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Starting Grants,2024,University of Neuchatel,1,1799729
SNSF Starting Grants,2022,ETH Zurich,9,15833951
SNSF Swiss Postdoctoral Fellowships,2021,Università della Svizzera italiana,1,232050
SNSF Starting Grants,2024,University of St.Gallen,1,1066914
SNSF Advanced Grants,2021,Università della Svizzera italiana,0,0
SNSF Consolidator Grants,2023,University of Lausanne,2,4202140
SNSF Advanced Grants,2021,ETH Zurich,6,13261698
SNSF Swiss Postdoctoral Fellowships,2022,University of Neuchatel,1,236392
SNSF Swiss Postdoctoral Fellowships,2021,Institute Friedrich Miescher,1,192152
SNSF Swiss Postdoctoral Fellowships,2021,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Other Research Institutes,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Berne University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Graduate Institute of International and Development Studies,0,0
SNSF Starting Grants,2022,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Consolidator Grants,2022,EPF Lausanne,6,12006151
